Fold,type,rmse,r2
1,training fold,1.12783,0.87198
1,validation fold,1.95877,1.95877
1,testing fold,2.7548,-0.33741
2,training fold,1.06911,0.88479
2,validation fold,2.08355,2.08355
2,testing fold,2.72239,-0.30612
3,training fold,1.12016,0.87151
3,validation fold,1.98162,1.98162
3,testing fold,2.72936,-0.31282
4,training fold,1.11132,0.87386
4,validation fold,2.01623,2.01623
4,testing fold,2.74187,-0.32488
5,training fold,1.09483,0.87971
5,validation fold,2.01442,2.01442
5,testing fold,2.72398,-0.30765
