Fold,type,rmse,r2
1,training fold,4.13451,0.74806
1,validation fold,4.06757,4.06757
1,testing fold,5.27255,0.75385
2,training fold,4.15234,0.74625
2,validation fold,4.00196,4.00196
2,testing fold,5.26901,0.75418
3,training fold,3.99388,0.75185
3,validation fold,4.63669,4.63669
3,testing fold,5.32377,0.74904
4,training fold,4.12481,0.74397
4,validation fold,4.13029,4.13029
4,testing fold,5.24577,0.75634
5,training fold,4.19855,0.74016
5,validation fold,3.8253,3.8253
5,testing fold,5.30465,0.75084
