Fold,type,rmse,r2
1,training fold,0.7835999727249146,0.9382
1,validation fold,3.9767000675201416,3.9767000675201416
1,testing fold,2.8728,-0.45443
2,training fold,0.7504000067710876,0.94324
2,validation fold,3.980799913406372,3.980799913406372
2,testing fold,2.90257,-0.48473
3,training fold,0.7758700251579285,0.93836
3,validation fold,4.108550071716309,4.108550071716309
3,testing fold,3.02592,-0.61361
4,training fold,0.7797099947929382,0.93791
4,validation fold,3.9992499351501465,3.9992499351501465
4,testing fold,2.91751,-0.50006
5,training fold,0.761709988117218,0.94178
5,validation fold,3.987380027770996,3.987380027770996
5,testing fold,2.9786,-0.56353
