Fold,type,rmse,r2
1,training fold,4.92454,0.64258
1,validation fold,5.60746,5.60746
1,testing fold,6.45192,0.63141
2,training fold,5.10731,0.61612
2,validation fold,4.89188,4.89188
2,testing fold,6.51247,0.62446
3,training fold,4.809,0.64023
3,validation fold,5.89764,5.89764
3,testing fold,6.54262,0.62098
4,training fold,5.10759,0.60743
4,validation fold,4.65606,4.65606
4,testing fold,6.41844,0.63523
5,training fold,5.10288,0.61617
5,validation fold,4.75093,4.75093
5,testing fold,6.57715,0.61697
