Fold,type,rmse,r2
1,training fold,1.9606499671936035,0.94334
1,validation fold,3.6041200160980225,3.6041200160980225
1,testing fold,3.65601,0.88165
2,training fold,2.007159948348999,0.94071
2,validation fold,3.4019699096679688,3.4019699096679688
2,testing fold,3.652,0.88191
3,training fold,1.7730000019073486,0.9511
3,validation fold,4.159870147705078,4.159870147705078
3,testing fold,3.74816,0.87561
4,training fold,1.9246100187301636,0.94426
4,validation fold,3.838870048522949,3.838870048522949
4,testing fold,3.72776,0.87696
5,training fold,1.9672499895095825,0.94295
5,validation fold,3.6706299781799316,3.6706299781799316
5,testing fold,3.6998,0.8788
