Fold,type,rmse,r2
1,training fold,0.011760000139474869,0.99999
1,validation fold,2.275170087814331,2.275170087814331
1,testing fold,2.9675,-0.5519
2,training fold,0.011800000444054604,0.99999
2,validation fold,2.3490400314331055,2.3490400314331055
2,testing fold,2.94522,-0.52869
3,training fold,0.011300000362098217,0.99999
3,validation fold,2.304260015487671,2.304260015487671
3,testing fold,2.99668,-0.58258
4,training fold,0.012919999659061432,0.99998
4,validation fold,2.3570499420166016,2.3570499420166016
4,testing fold,2.98157,-0.56666
5,training fold,0.011869999580085278,0.99999
5,validation fold,2.2928500175476074,2.2928500175476074
5,testing fold,2.95764,-0.5416
